total_params,trainable_params,linear_params,flops,model_size_mb,num_layers,model_type,hidden_size,num_hidden_layers,conv_params,num_conv_layers,num_filters,has_batchnorm,has_pooling,kernel_size,num_fc_layers,device,cpu_cores,cpu_freq_ghz,cpu_cache_l2_mb,ram_total_gb,gpu_memory_gb,batch_size,input_channels,input_height,input_width,num_classes,train_time_mean,train_time_std,infer_time_mean,infer_time_std
12730,12730,12730,25408,0.0486,2,0,16,1,0,0,0,0,0,0,0,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,0.85612,0.01022,0.01307,0.00095
13002,13002,13002,25920,0.0496,3,0,16,2,0,0,0,0,0,0,0,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,1.08053,0.00476,0.01649,0.00016
13274,13274,13274,26432,0.0506,4,0,16,3,0,0,0,0,0,0,0,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,1.32239,0.01266,0.02289,0.00159
13546,13546,13546,26944,0.0517,5,0,16,4,0,0,0,0,0,0,0,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,1.56393,0.01885,0.02577,0.00075
13818,13818,13818,27456,0.0527,6,0,16,5,0,0,0,0,0,0,0,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,1.78301,0.00574,0.02996,0.00122
14090,14090,14090,27968,0.0537,7,0,16,6,0,0,0,0,0,0,0,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,2.02334,0.01175,0.03594,0.00117
14362,14362,14362,28480,0.0548,8,0,16,7,0,0,0,0,0,0,0,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,2.24538,0.01461,0.03952,0.00291
25450,25450,25450,50816,0.0971,2,0,32,1,0,0,0,0,0,0,0,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,0.89527,0.0073,0.01424,0.00087
26506,26506,26506,52864,0.1011,3,0,32,2,0,0,0,0,0,0,0,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,1.13329,0.00697,0.02025,0.00141
27562,27562,27562,54912,0.1051,4,0,32,3,0,0,0,0,0,0,0,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,1.3875,0.02689,0.02341,0.00211
28618,28618,28618,56960,0.1092,5,0,32,4,0,0,0,0,0,0,0,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,1.64787,0.02429,0.03052,0.00131
29674,29674,29674,59008,0.1132,6,0,32,5,0,0,0,0,0,0,0,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,1.87486,0.01929,0.03309,0.00184
30730,30730,30730,61056,0.1172,7,0,32,6,0,0,0,0,0,0,0,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,2.10515,0.00763,0.03812,0.00094
31786,31786,31786,63104,0.1213,8,0,32,7,0,0,0,0,0,0,0,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,2.37308,0.01337,0.04187,0.00259
50890,50890,50890,101632,0.1941,2,0,64,1,0,0,0,0,0,0,0,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,0.93258,0.00262,0.0162,0.00031
55050,55050,55050,109824,0.21,3,0,64,2,0,0,0,0,0,0,0,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,1.22409,0.00639,0.02249,0.00152
59210,59210,59210,118016,0.2259,4,0,64,3,0,0,0,0,0,0,0,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,1.52587,0.01672,0.02853,0.00236
63370,63370,63370,126208,0.2417,5,0,64,4,0,0,0,0,0,0,0,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,1.85434,0.05301,0.03491,0.0004
67530,67530,67530,134400,0.2576,6,0,64,5,0,0,0,0,0,0,0,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,2.12027,0.0149,0.04108,0.00179
71690,71690,71690,142592,0.2735,7,0,64,6,0,0,0,0,0,0,0,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,2.52106,0.0924,0.04941,0.00232
75850,75850,75850,150784,0.2893,8,0,64,7,0,0,0,0,0,0,0,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,2.63741,0.02579,0.05074,0.00148
101770,101770,101770,203264,0.3882,2,0,128,1,0,0,0,0,0,0,0,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,1.03928,0.00467,0.02104,0.00236
118282,118282,118282,236032,0.4512,3,0,128,2,0,0,0,0,0,0,0,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,1.38466,0.00509,0.02851,0.00036
134794,134794,134794,268800,0.5142,4,0,128,3,0,0,0,0,0,0,0,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,1.73283,0.01938,0.03831,0.00101
151306,151306,151306,301568,0.5772,5,0,128,4,0,0,0,0,0,0,0,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,2.102,0.01471,0.04516,0.00289
167818,167818,167818,334336,0.6402,6,0,128,5,0,0,0,0,0,0,0,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,2.43503,0.01598,0.05029,0.00122
184330,184330,184330,367104,0.7032,7,0,128,6,0,0,0,0,0,0,0,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,2.79338,0.01547,0.06033,0.00262
200842,200842,200842,399872,0.7662,8,0,128,7,0,0,0,0,0,0,0,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,3.19397,0.00616,0.06894,0.00241
203530,203530,203530,406528,0.7764,2,0,256,1,0,0,0,0,0,0,0,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,1.2187,0.00999,0.03029,0.00072
269322,269322,269322,537600,1.0274,3,0,256,2,0,0,0,0,0,0,0,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,1.77598,0.00469,0.04512,0.00107
335114,335114,335114,668672,1.2784,4,0,256,3,0,0,0,0,0,0,0,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,2.3624,0.03812,0.05818,0.0014
