total_params,trainable_params,linear_params,flops,model_size_mb,num_layers,model_type,hidden_size,num_hidden_layers,conv_params,num_conv_layers,num_filters,has_batchnorm,has_pooling,kernel_size,num_fc_layers,device,cpu_cores,cpu_freq_ghz,cpu_cache_l2_mb,ram_total_gb,gpu_memory_gb,batch_size,input_channels,input_height,input_width,num_classes,train_time_mean,train_time_std,infer_time_mean,infer_time_std
15770,15770,15690,144256,0.0602,2,1,0,0,80,1,8,0,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,2.87089,0.02206,0.16702,0.00587
15786,15786,15690,144256,0.0602,3,1,0,0,80,1,8,1,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,3.99527,0.21446,0.19129,0.00772
4594,4594,3930,346528,0.0175,3,1,0,0,664,2,8,0,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,3.89054,0.0293,0.24592,0.00662
4626,4626,3930,346528,0.0176,5,1,0,0,664,2,8,1,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,5.28959,0.02899,0.2686,0.0059
1978,1978,730,396576,0.0075,4,1,0,0,1248,3,8,0,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,4.94275,0.2305,0.30764,0.01859
2026,2026,730,396576,0.0077,7,1,0,0,1248,3,8,1,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,6.87055,0.38095,0.32876,0.01168
1922,1922,90,405664,0.0073,5,1,0,0,1832,4,8,0,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,5.3749,0.05066,0.32688,0.00824
1986,1986,90,405664,0.0076,9,1,0,0,1832,4,8,1,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,7.45403,0.10756,0.359,0.00772
2506,2506,90,406816,0.0096,6,1,0,0,2416,5,8,0,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,5.93063,0.10469,0.34802,0.00403
2586,2586,90,406816,0.0099,11,1,0,0,2416,5,8,1,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,8.18903,0.05073,0.38977,0.00793
3090,3090,90,407968,0.0118,7,1,0,0,3000,6,8,0,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,6.48985,0.04236,0.37566,0.0081
3186,3186,90,407968,0.0122,13,1,0,0,3000,6,8,1,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,9.02854,0.0549,0.41823,0.00455
31530,31530,31370,288512,0.1203,2,1,0,0,160,1,16,0,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,4.68503,0.02377,0.2909,0.01003
31562,31562,31370,288512,0.1204,3,1,0,0,160,1,16,1,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,6.52329,0.07649,0.3144,0.01595
10330,10330,7850,1144640,0.0394,3,1,0,0,2480,2,16,0,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,6.82333,0.1669,0.43663,0.02172
10394,10394,7850,1144640,0.0396,5,1,0,0,2480,2,16,1,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,8.84968,0.0313,0.4754,0.01426
6250,6250,1450,1357632,0.0238,4,1,0,0,4800,3,16,0,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,8.04895,0.46509,0.54778,0.10096
6346,6346,1450,1357632,0.0242,7,1,0,0,4800,3,16,1,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,10.4863,0.21408,0.56185,0.0276
7290,7290,170,1396544,0.0278,5,1,0,0,7120,4,16,0,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,8.51223,0.08198,0.53487,0.01036
7418,7418,170,1396544,0.0283,9,1,0,0,7120,4,16,1,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,11.31843,0.09654,0.58429,0.01154
9610,9610,170,1401152,0.0367,6,1,0,0,9440,5,16,0,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,9.0916,0.03764,0.56729,0.02231
9770,9770,170,1401152,0.0373,11,1,0,0,9440,5,16,1,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,12.246,0.04775,0.61358,0.01166
11930,11930,170,1405760,0.0455,7,1,0,0,11760,6,16,0,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,9.7658,0.03179,0.58958,0.02458
12122,12122,170,1405760,0.0462,13,1,0,0,11760,6,16,1,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,13.12054,0.0626,0.64887,0.01981
63050,63050,62730,577024,0.2405,2,1,0,0,320,1,32,0,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,9.39561,0.04109,0.66598,0.01717
63114,63114,62730,577024,0.2408,3,1,0,0,320,1,32,1,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,12.23667,0.06189,0.69122,0.01232
25258,25258,15690,4095616,0.0964,3,1,0,0,9568,2,32,0,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,12.9801,0.04992,0.92445,0.01185
25386,25386,15690,4095616,0.0968,5,1,0,0,9568,2,32,1,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,17.91324,0.50184,1.04612,0.02578
21706,21706,2890,4973184,0.0828,4,1,0,0,18816,3,32,0,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,14.7593,0.13683,1.05912,0.03053
21898,21898,2890,4973184,0.0835,7,1,0,0,18816,3,32,1,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,19.34774,0.05214,1.12063,0.02287
28394,28394,330,5133952,0.1083,5,1,0,0,28064,4,32,0,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,15.74057,0.15771,1.12409,0.05067
28650,28650,330,5133952,0.1093,9,1,0,0,28064,4,32,1,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,20.87339,0.16551,1.26807,0.04791
37642,37642,330,5152384,0.1436,6,1,0,0,37312,5,32,0,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,16.37233,0.07528,1.14965,0.04658
37962,37962,330,5152384,0.1448,11,1,0,0,37312,5,32,1,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,21.89673,0.09094,1.3069,0.03908
46890,46890,330,5170816,0.1789,7,1,0,0,46560,6,32,0,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,17.11791,0.09204,1.15819,0.0297
47274,47274,330,5170816,0.1803,13,1,0,0,46560,6,32,1,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,22.80452,0.09458,1.34093,0.05507
126090,126090,125450,1154048,0.481,2,1,0,0,640,1,64,0,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,18.23829,0.05616,1.40538,0.01841
126218,126218,125450,1154048,0.4815,3,1,0,0,640,1,64,1,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,24.7217,0.32902,1.62667,0.0117
68938,68938,31370,15416576,0.263,3,1,0,0,37568,2,64,0,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,30.14197,0.04285,2.30251,0.00918
69194,69194,31370,15416576,0.264,5,1,0,0,37568,2,64,1,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,38.53702,0.22786,2.58074,0.02616
80266,80266,5770,18978048,0.3062,4,1,0,0,74496,3,64,0,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,34.50208,0.56508,2.58418,0.03491
80650,80650,5770,18978048,0.3077,7,1,0,0,74496,3,64,1,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,43.34253,0.36616,2.86643,0.01567
112074,112074,650,19631360,0.4275,5,1,0,0,111424,4,64,0,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,36.05557,0.48733,2.67269,0.04109
112586,112586,650,19631360,0.4295,9,1,0,0,111424,4,64,1,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,45.40628,0.29789,2.97519,0.05571
149002,149002,650,19705088,0.5684,6,1,0,0,148352,5,64,0,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,36.70254,0.24482,2.70562,0.02483
149642,149642,650,19705088,0.5708,11,1,0,0,148352,5,64,1,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,46.50924,0.4473,3.01208,0.03507
185930,185930,650,19778816,0.7093,7,1,0,0,185280,6,64,0,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,37.84918,0.40054,2.73363,0.01782
186698,186698,650,19778816,0.7122,13,1,0,0,185280,6,64,1,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,48.18643,0.46105,3.06086,0.01969
252170,252170,250890,2308096,0.962,2,1,0,0,1280,1,128,0,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,35.65348,0.1511,3.08533,0.02973
252426,252426,250890,2308096,0.9629,3,1,0,0,1280,1,128,1,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,47.7342,0.10437,3.40447,0.03559
