target,rank,feature,importance,device
학습시간 [CPU] - RandomForest,1,flops,0.551175,CPU
학습시간 [CPU] - RandomForest,2,num_filters,0.315351,CPU
학습시간 [CPU] - RandomForest,3,conv_params,0.062055,CPU
학습시간 [CPU] - RandomForest,4,model_size_mb,0.011143,CPU
학습시간 [CPU] - RandomForest,5,num_layers,0.010968,CPU
학습시간 [CPU] - RandomForest,6,trainable_params,0.010682,CPU
학습시간 [CPU] - RandomForest,7,total_params,0.009769,CPU
학습시간 [CPU] - RandomForest,8,linear_params,0.006774,CPU
학습시간 [CPU] - RandomForest,9,num_hidden_layers,0.005966,CPU
학습시간 [CPU] - RandomForest,10,num_conv_layers,0.003171,CPU
학습시간 [CPU] - RandomForest,11,has_batchnorm,0.002569,CPU
학습시간 [CPU] - RandomForest,12,model_type,0.002405,CPU
학습시간 [CPU] - RandomForest,13,hidden_size,0.002248,CPU
학습시간 [CPU] - RandomForest,14,num_fc_layers,0.002092,CPU
학습시간 [CPU] - RandomForest,15,has_pooling,0.001894,CPU
학습시간 [CPU] - RandomForest,16,kernel_size,0.001738,CPU
학습시간 [CPU] - RandomForest,17,device,0.0,CPU
학습시간 [CPU] - RandomForest,18,cpu_freq_ghz,0.0,CPU
학습시간 [CPU] - RandomForest,19,cpu_cores,0.0,CPU
학습시간 [CPU] - RandomForest,20,input_height,0.0,CPU
학습시간 [CPU] - RandomForest,21,input_width,0.0,CPU
학습시간 [CPU] - RandomForest,22,num_classes,0.0,CPU
학습시간 [CPU] - RandomForest,23,cpu_cache_l2_mb,0.0,CPU
학습시간 [CPU] - RandomForest,24,ram_total_gb,0.0,CPU
학습시간 [CPU] - RandomForest,25,gpu_memory_gb,0.0,CPU
학습시간 [CPU] - RandomForest,26,batch_size,0.0,CPU
학습시간 [CPU] - RandomForest,27,input_channels,0.0,CPU
학습시간 [CPU] - XGBoost,1,num_filters,0.378834,CPU
학습시간 [CPU] - XGBoost,2,conv_params,0.35573,CPU
학습시간 [CPU] - XGBoost,3,flops,0.198535,CPU
학습시간 [CPU] - XGBoost,4,model_type,0.045305,CPU
학습시간 [CPU] - XGBoost,5,has_batchnorm,0.011611,CPU
학습시간 [CPU] - XGBoost,6,total_params,0.005833,CPU
학습시간 [CPU] - XGBoost,7,num_layers,0.002833,CPU
학습시간 [CPU] - XGBoost,8,num_conv_layers,0.000908,CPU
학습시간 [CPU] - XGBoost,9,linear_params,0.000315,CPU
학습시간 [CPU] - XGBoost,10,hidden_size,8.6e-05,CPU
학습시간 [CPU] - XGBoost,11,num_hidden_layers,1.3e-05,CPU
학습시간 [CPU] - XGBoost,12,device,0.0,CPU
학습시간 [CPU] - XGBoost,13,cpu_cores,0.0,CPU
학습시간 [CPU] - XGBoost,14,cpu_freq_ghz,0.0,CPU
학습시간 [CPU] - XGBoost,15,cpu_cache_l2_mb,0.0,CPU
학습시간 [CPU] - XGBoost,16,ram_total_gb,0.0,CPU
학습시간 [CPU] - XGBoost,17,gpu_memory_gb,0.0,CPU
학습시간 [CPU] - XGBoost,18,batch_size,0.0,CPU
학습시간 [CPU] - XGBoost,19,input_channels,0.0,CPU
학습시간 [CPU] - XGBoost,20,input_height,0.0,CPU
학습시간 [CPU] - XGBoost,21,input_width,0.0,CPU
학습시간 [CPU] - XGBoost,22,num_classes,0.0,CPU
학습시간 [CPU] - XGBoost,23,has_pooling,0.0,CPU
학습시간 [CPU] - XGBoost,24,kernel_size,0.0,CPU
학습시간 [CPU] - XGBoost,25,num_fc_layers,0.0,CPU
학습시간 [CPU] - XGBoost,26,model_size_mb,0.0,CPU
학습시간 [CPU] - XGBoost,27,trainable_params,0.0,CPU
추론시간 [CPU] - RandomForest,1,num_filters,0.770322,CPU
추론시간 [CPU] - RandomForest,2,flops,0.150961,CPU
추론시간 [CPU] - RandomForest,3,conv_params,0.047648,CPU
추론시간 [CPU] - RandomForest,4,model_size_mb,0.00771,CPU
추론시간 [CPU] - RandomForest,5,trainable_params,0.007599,CPU
추론시간 [CPU] - RandomForest,6,total_params,0.006674,CPU
추론시간 [CPU] - RandomForest,7,linear_params,0.002747,CPU
추론시간 [CPU] - RandomForest,8,num_conv_layers,0.001727,CPU
추론시간 [CPU] - RandomForest,9,num_layers,0.001306,CPU
추론시간 [CPU] - RandomForest,10,hidden_size,0.000681,CPU
추론시간 [CPU] - RandomForest,11,model_type,0.000648,CPU
추론시간 [CPU] - RandomForest,12,num_fc_layers,0.00052,CPU
추론시간 [CPU] - RandomForest,13,num_hidden_layers,0.000509,CPU
추론시간 [CPU] - RandomForest,14,has_pooling,0.000394,CPU
추론시간 [CPU] - RandomForest,15,kernel_size,0.000332,CPU
추론시간 [CPU] - RandomForest,16,has_batchnorm,0.000221,CPU
추론시간 [CPU] - RandomForest,17,device,0.0,CPU
추론시간 [CPU] - RandomForest,18,cpu_freq_ghz,0.0,CPU
추론시간 [CPU] - RandomForest,19,cpu_cores,0.0,CPU
추론시간 [CPU] - RandomForest,20,input_height,0.0,CPU
추론시간 [CPU] - RandomForest,21,input_width,0.0,CPU
추론시간 [CPU] - RandomForest,22,num_classes,0.0,CPU
추론시간 [CPU] - RandomForest,23,cpu_cache_l2_mb,0.0,CPU
추론시간 [CPU] - RandomForest,24,ram_total_gb,0.0,CPU
추론시간 [CPU] - RandomForest,25,gpu_memory_gb,0.0,CPU
추론시간 [CPU] - RandomForest,26,batch_size,0.0,CPU
추론시간 [CPU] - RandomForest,27,input_channels,0.0,CPU
추론시간 [CPU] - XGBoost,1,num_filters,0.896403,CPU
추론시간 [CPU] - XGBoost,2,conv_params,0.068526,CPU
추론시간 [CPU] - XGBoost,3,flops,0.024443,CPU
추론시간 [CPU] - XGBoost,4,model_type,0.005414,CPU
추론시간 [CPU] - XGBoost,5,total_params,0.004437,CPU
추론시간 [CPU] - XGBoost,6,linear_params,0.00043,CPU
추론시간 [CPU] - XGBoost,7,num_layers,0.000183,CPU
추론시간 [CPU] - XGBoost,8,has_batchnorm,0.000148,CPU
추론시간 [CPU] - XGBoost,9,num_conv_layers,1e-05,CPU
추론시간 [CPU] - XGBoost,10,hidden_size,5e-06,CPU
추론시간 [CPU] - XGBoost,11,num_hidden_layers,1e-06,CPU
추론시간 [CPU] - XGBoost,12,device,0.0,CPU
추론시간 [CPU] - XGBoost,13,cpu_cores,0.0,CPU
추론시간 [CPU] - XGBoost,14,cpu_freq_ghz,0.0,CPU
추론시간 [CPU] - XGBoost,15,cpu_cache_l2_mb,0.0,CPU
추론시간 [CPU] - XGBoost,16,ram_total_gb,0.0,CPU
추론시간 [CPU] - XGBoost,17,gpu_memory_gb,0.0,CPU
추론시간 [CPU] - XGBoost,18,batch_size,0.0,CPU
추론시간 [CPU] - XGBoost,19,input_channels,0.0,CPU
추론시간 [CPU] - XGBoost,20,input_height,0.0,CPU
추론시간 [CPU] - XGBoost,21,input_width,0.0,CPU
추론시간 [CPU] - XGBoost,22,num_classes,0.0,CPU
