model_idx,config,num_layers,total_params,device,inference_time_mean_ms,inference_time_std_ms,training_time_mean_sec,training_time_std_sec
0,[64],2,50890,cpu,0.0703811645507812,0.0631027637924778,3.8144068717956543,0.0
0,[64],2,50890,mps,0.3877401351928711,0.0181395805588735,4.277552127838135,0.0
1,[128],2,101770,cpu,0.0366687774658203,0.0005201679284398,2.7494101524353027,0.0
1,[128],2,101770,mps,0.433206558227539,0.0216173482752788,5.275261163711548,0.0
2,[256],2,203530,cpu,0.0611543655395507,0.0014551348228137,2.892719030380249,0.0
2,[256],2,203530,mps,0.4961729049682617,0.0174734795416616,5.88048791885376,0.0
3,[512],2,407050,cpu,0.09307861328125,0.0003234066955149,3.256716251373291,0.0
3,[512],2,407050,mps,0.7778644561767578,0.6647587934137794,5.7941060066223145,0.0
4,"[64, 64]",3,55050,cpu,0.0349283218383789,0.0003062542099634,2.7049500942230225,0.0
4,"[64, 64]",3,55050,mps,0.4948616027832031,0.0059597014892515,5.166245937347412,0.0
5,"[128, 128]",3,118282,cpu,0.0469923019409179,0.0005163289982726,2.819058895111084,0.0
5,"[128, 128]",3,118282,mps,0.484466552734375,0.0258027949600251,4.653186082839966,0.0
6,"[256, 256]",3,269322,cpu,0.080728530883789,0.0033703989118713,3.081729888916016,0.0
6,"[256, 256]",3,269322,mps,0.5257129669189453,0.0172483937116966,4.752097845077515,0.0
7,"[512, 512]",3,669706,cpu,0.1511812210083007,0.0010897059328104,3.9430322647094727,0.0
7,"[512, 512]",3,669706,mps,0.7058382034301758,0.0296073736273117,6.521830797195435,0.0
8,"[64, 64, 64]",4,59210,cpu,0.0416755676269531,0.0005201679284398,2.7370047569274902,0.0
8,"[64, 64, 64]",4,59210,mps,0.62408447265625,0.0305554036327125,6.041630029678345,0.0
9,"[128, 128, 128]",4,134794,cpu,0.0601768493652343,0.0020179847688196,2.8808908462524414,0.0
9,"[128, 128, 128]",4,134794,mps,0.8667230606079102,0.7206834610676854,6.355499982833862,0.0
10,"[256, 256, 256]",4,335114,cpu,0.1067876815795898,0.0093321612503457,3.3574979305267334,0.0
10,"[256, 256, 256]",4,335114,mps,0.6317377090454102,0.014915573779497,5.154468059539795,0.0
11,"[128, 256, 128]",4,167690,cpu,0.0674009323120117,0.0006036276293359,2.9009130001068115,0.0
11,"[128, 256, 128]",4,167690,mps,0.8152961730957031,0.7233101908610455,5.057845115661621,0.0
12,"[64, 128, 64]",4,67466,cpu,0.045323371887207,0.0007573309027799,2.8436107635498047,0.0
12,"[64, 128, 64]",4,67466,mps,0.635981559753418,0.0210854916577457,6.100062847137451,0.0
13,"[256, 512, 256]",4,466442,cpu,0.1272201538085937,0.0074516391002243,3.729381799697876,0.0
13,"[256, 512, 256]",4,466442,mps,0.6751298904418945,0.0167511916381695,5.580519914627075,0.0
14,[32],2,25450,cpu,0.0256061553955078,0.0009059906005859,2.6108460426330566,0.0
14,[32],2,25450,mps,0.4146099090576172,0.0248104289129327,4.714473247528076,0.0
15,"[32, 32]",3,26506,cpu,0.0334978103637695,0.0017625245645786,2.6423017978668213,0.0
15,"[32, 32]",3,26506,mps,0.4810571670532226,0.0276549211381092,5.427645921707153,0.0
16,"[32, 32, 32]",4,27562,cpu,0.0396251678466796,0.0010047582390644,2.683305025100708,0.0
