total_params,model_size_mb,num_layers,num_hidden_layers,num_conv_layers,max_width,min_width,avg_width,base_channels,model_type_encoded,cnn_has_pooling,cnn_has_batchnorm,cnn_num_fc_layers,cnn_kernel_size,device_encoded,cpu_cores,cpu_freq_ghz,cpu_cache_l2_mb,ram_total_gb,gpu_memory_gb,input_channels,input_height,input_width,num_classes,batch_size,dataset_encoded,inference_time_mean_ms,training_time_mean_sec,device,dataset_name
50890,0.19412994384765625,2.0,1,0.0,64.0,64.0,64.0,0.0,0,0.0,0.0,1.0,0.0,0,8,3.2,12.0,8.0,8.0,1,28,28,10,64,0,0.0703811645507812,3.8144068717956543,cpu,MNIST
50890,0.19412994384765625,2.0,1,0.0,64.0,64.0,64.0,0.0,0,0.0,0.0,1.0,0.0,1,8,3.2,12.0,8.0,8.0,1,28,28,10,64,0,0.3877401351928711,4.277552127838135,mps,MNIST
101770,0.38822174072265625,2.0,1,0.0,128.0,128.0,128.0,0.0,0,0.0,0.0,1.0,0.0,0,8,3.2,12.0,8.0,8.0,1,28,28,10,64,0,0.0366687774658203,2.7494101524353027,cpu,MNIST
101770,0.38822174072265625,2.0,1,0.0,128.0,128.0,128.0,0.0,0,0.0,0.0,1.0,0.0,1,8,3.2,12.0,8.0,8.0,1,28,28,10,64,0,0.433206558227539,5.275261163711548,mps,MNIST
203530,0.7764053344726562,2.0,1,0.0,256.0,256.0,256.0,0.0,0,0.0,0.0,1.0,0.0,0,8,3.2,12.0,8.0,8.0,1,28,28,10,64,0,0.0611543655395507,2.892719030380249,cpu,MNIST
203530,0.7764053344726562,2.0,1,0.0,256.0,256.0,256.0,0.0,0,0.0,0.0,1.0,0.0,1,8,3.2,12.0,8.0,8.0,1,28,28,10,64,0,0.4961729049682617,5.88048791885376,mps,MNIST
407050,1.5527725219726562,2.0,1,0.0,512.0,512.0,512.0,0.0,0,0.0,0.0,1.0,0.0,0,8,3.2,12.0,8.0,8.0,1,28,28,10,64,0,0.09307861328125,3.256716251373291,cpu,MNIST
407050,1.5527725219726562,2.0,1,0.0,512.0,512.0,512.0,0.0,0,0.0,0.0,1.0,0.0,1,8,3.2,12.0,8.0,8.0,1,28,28,10,64,0,0.7778644561767578,5.7941060066223145,mps,MNIST
55050,0.20999908447265625,3.0,2,0.0,64.0,64.0,64.0,0.0,0,0.0,0.0,1.0,0.0,0,8,3.2,12.0,8.0,8.0,1,28,28,10,64,0,0.0349283218383789,2.7049500942230225,cpu,MNIST
55050,0.20999908447265625,3.0,2,0.0,64.0,64.0,64.0,0.0,0,0.0,0.0,1.0,0.0,1,8,3.2,12.0,8.0,8.0,1,28,28,10,64,0,0.4948616027832031,5.166245937347412,mps,MNIST
