total_params,log_total_params,trainable_params,model_size_mb,log_model_size_mb,total_layers,num_hidden_layers,num_linear_layers,num_conv_layers,max_width,log_max_width,min_width,avg_width,base_channels,model_family_encoded,has_pooling,has_batch_norm,cnn_num_fc_layers,cnn_kernel_size,flops,has_residual,has_depthwise,has_attention,has_cls_token,num_blocks,num_mult_adds,activation_memory_mb,first_layer_width,last_layer_width,is_sequential,has_skip_connection,max_channels,min_channels,ann_max_hidden,ann_min_hidden,ann_avg_hidden,cnn_num_filters,cnn_max_channels,cnn_has_residual,cnn_has_depthwise,embed_dim,num_heads,patch_size,ffn_dim,vit_has_cls_token,latent_dim,generator_params,discriminator_params,ann_num_layers,cnn_stem_channels,vit_num_encoder_layers,input_height,input_width,input_channels,num_classes,batch_size,dataset_encoded,input_pixels,seq_length,device_type,os_type,accelerator_brand,accelerator_name,cpu_cores_physical,cpu_cores_logical,cpu_perf_cores,cpu_efficiency_cores,cpu_freq_base_ghz,cpu_freq_boost_ghz,cpu_cache_l2_mb,cpu_cache_l3_mb,ram_total_gb,memory_type,memory_bandwidth_gbs,is_unified_memory,shared_memory_gb,dedicated_vram_gb,gpu_count,gpu_memory_gb,gpu_core_count,peak_bandwidth_gbs,tflops_fp32,tflops_fp16,fp16_support,bf16_support,interconnect_type,host_to_device_bandwidth_gbs,is_discrete_gpu,is_integrated_gpu,device_encoded,cpu_freq_ghz,memory_channels,inference_time_mean_ms,training_time_mean_sec,device,dataset_name
50890,10.837441369615792,50890,0.19412994384765625,0.17741783974195952,1,1,1,0,64,4.174387269895637,64.0,64.0,0,0,0.0,0.0,1.0,0.0,0,0.0,0.0,0,0,0,0,0,64,64,1,0.0,0,0,64,64,64.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,0.0,0,28,28,1,10,64,0,784,0,0.0,1.0,0.0,0.0,8.0,16.0,0.0,0.0,0.0,2.3,0.0,0.0,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.3,0.0,0.0703811645507812,3.8144068717956543,cpu,MNIST
50890,10.837441369615792,50890,0.19412994384765625,0.17741783974195952,1,1,1,0,64,4.174387269895637,64.0,64.0,0,0,0.0,0.0,1.0,0.0,0,0.0,0.0,0,0,0,0,0,64,64,1,0.0,0,0,64,64,64.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,0.0,0,28,28,1,10,64,0,784,0,1.0,1.0,0.0,0.0,8.0,16.0,0.0,0.0,0.0,2.3,0.0,0.0,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.3,0.0,0.3877401351928711,4.277552127838135,mps,MNIST
101770,11.530480470216114,101770,0.38822174072265625,0.32802360488892496,1,1,1,0,128,4.859812404361672,128.0,128.0,0,0,0.0,0.0,1.0,0.0,0,0.0,0.0,0,0,0,0,0,128,128,1,0.0,0,0,128,128,128.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,0.0,0,28,28,1,10,64,0,784,0,0.0,1.0,0.0,0.0,8.0,16.0,0.0,0.0,0.0,2.3,0.0,0.0,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.3,0.0,0.0366687774658203,2.7494101524353027,cpu,MNIST
101770,11.530480470216114,101770,0.38822174072265625,0.32802360488892496,1,1,1,0,128,4.859812404361672,128.0,128.0,0,0,0.0,0.0,1.0,0.0,0,0.0,0.0,0,0,0,0,0,128,128,1,0.0,0,0,128,128,128.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,0.0,0,28,28,1,10,64,0,784,0,1.0,1.0,0.0,0.0,8.0,16.0,0.0,0.0,0.0,2.3,0.0,0.0,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.3,0.0,0.433206558227539,5.275261163711548,mps,MNIST
203530,12.223573606415453,203530,0.7764053344726562,0.5745918473994708,1,1,1,0,256,5.54907608489522,256.0,256.0,0,0,0.0,0.0,1.0,0.0,0,0.0,0.0,0,0,0,0,0,256,256,1,0.0,0,0,256,256,256.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,0.0,0,28,28,1,10,64,0,784,0,0.0,1.0,0.0,0.0,8.0,16.0,0.0,0.0,0.0,2.3,0.0,0.0,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.3,0.0,0.0611543655395507,2.892719030380249,cpu,MNIST
203530,12.223573606415453,203530,0.7764053344726562,0.5745918473994708,1,1,1,0,256,5.54907608489522,256.0,256.0,0,0,0.0,0.0,1.0,0.0,0,0.0,0.0,0,0,0,0,0,256,256,1,0.0,0,0,256,256,256.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,0.0,0,28,28,1,10,64,0,784,0,1.0,1.0,0.0,0.0,8.0,16.0,0.0,0.0,0.0,2.3,0.0,0.0,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.3,0.0,0.4961729049682617,5.88048791885376,mps,MNIST
407050,12.916693763699756,407050,1.5527725219726562,0.9371800320461282,1,1,1,0,512,6.240275845170769,512.0,512.0,0,0,0.0,0.0,1.0,0.0,0,0.0,0.0,0,0,0,0,0,512,512,1,0.0,0,0,512,512,512.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,0.0,0,28,28,1,10,64,0,784,0,0.0,1.0,0.0,0.0,8.0,16.0,0.0,0.0,0.0,2.3,0.0,0.0,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.3,0.0,0.09307861328125,3.256716251373291,cpu,MNIST
407050,12.916693763699756,407050,1.5527725219726562,0.9371800320461282,1,1,1,0,512,6.240275845170769,512.0,512.0,0,0,0.0,0.0,1.0,0.0,0,0.0,0.0,0,0,0,0,0,512,512,1,0.0,0,0,512,512,512.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,0.0,0,28,28,1,10,64,0,784,0,1.0,1.0,0.0,0.0,8.0,16.0,0.0,0.0,0.0,2.3,0.0,0.0,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.3,0.0,0.7778644561767578,5.7941060066223145,mps,MNIST
55050,10.916015307290108,55050,0.20999908447265625,0.19061960297419508,2,2,2,0,64,4.174387269895637,64.0,64.0,0,0,0.0,0.0,1.0,0.0,0,0.0,0.0,0,0,0,0,0,64,64,1,0.0,0,0,64,64,64.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,2,0.0,0,28,28,1,10,64,0,784,0,0.0,1.0,0.0,0.0,8.0,16.0,0.0,0.0,0.0,2.3,0.0,0.0,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.3,0.0,0.0349283218383789,2.7049500942230225,cpu,MNIST
55050,10.916015307290108,55050,0.20999908447265625,0.19061960297419508,2,2,2,0,64,4.174387269895637,64.0,64.0,0,0,0.0,0.0,1.0,0.0,0,0.0,0.0,0,0,0,0,0,64,64,1,0.0,0,0,64,64,64.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,2,0.0,0,28,28,1,10,64,0,784,0,1.0,1.0,0.0,0.0,8.0,16.0,0.0,0.0,0.0,2.3,0.0,0.0,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.3,0.0,0.4948616027832031,5.166245937347412,mps,MNIST
