model_idx,config_str,model_type,latent_dim,g_hidden_dims,d_hidden_dims,num_layers,total_params,g_total_params,d_total_params,device,inference_time_mean_ms,inference_time_std_ms,training_time_mean_sec,training_time_std_sec,dataset,img_size,img_channels,batch_size
0,z64_G128_256,GAN,64,"[128, 256]","[256, 128]",3,477585,243600,233985,cpu,0.3084417000081885,0.0226463620935331,0.0044105376000061,0.0004892686961446,MNIST,28,1,64
0,z64_G128_256,GAN,64,"[128, 256]","[256, 128]",3,477585,243600,233985,mps,1.0423416000321597,0.5394806660085752,0.0076279373999568,0.0015412163030686,MNIST,28,1,64
1,z64_G128_256_512,GAN,64,"[128, 256, 512]","[512, 256, 128]",4,1143185,576912,566273,cpu,0.3662291998352884,0.02296242171359,0.0062324210000497,0.0003223453105804,MNIST,28,1,64
1,z64_G128_256_512,GAN,64,"[128, 256, 512]","[512, 256, 128]",4,1143185,576912,566273,mps,1.3874375999421318,0.6772701578063648,0.0089728625001043,0.001506095327301,MNIST,28,1,64
2,z128_G256_512,GAN,128,"[256, 512]","[512, 256]",3,1101841,568336,533505,cpu,0.5310250999627897,0.3060146591440868,0.0063629666999077,0.0004809099106519,MNIST,28,1,64
2,z128_G256_512,GAN,128,"[256, 512]","[512, 256]",3,1101841,568336,533505,mps,0.9085291999781476,0.0787030707556299,0.0066386834999775,0.0010979827020021,MNIST,28,1,64
3,z128_G256_512_1024,GAN,128,"[256, 512, 1024]","[1024, 512, 256]",4,2957329,1497104,1460225,cpu,0.6131497999831481,0.0191554020639136,0.0118434458001047,0.0003224972432504,MNIST,28,1,64
3,z128_G256_512_1024,GAN,128,"[256, 512, 1024]","[1024, 512, 256]",4,2957329,1497104,1460225,mps,1.103474899991852,0.3592787626355748,0.0097632331999648,0.0010106906882617,MNIST,28,1,64
4,z128_G128_256_512_256,GAN,128,"[128, 256, 512, 256]","[256, 512, 256, 128]",5,1013137,516240,496897,cpu,0.3880415000821813,0.0061548968856045,0.0067706291999002,0.0002483299969598,MNIST,28,1,64
4,z128_G128_256_512_256,GAN,128,"[128, 256, 512, 256]","[256, 512, 256, 128]",5,1013137,516240,496897,mps,1.113962399904267,0.0961476623082287,0.0097449667000546,0.0008108232790537,MNIST,28,1,64
5,z256_G256_512_1024,GAN,256,"[256, 512, 1024]","[1024, 512, 256]",4,2990097,1529872,1460225,cpu,1.0717583000314337,0.1000912302177709,0.0153143417000592,0.0014516124780566,MNIST,28,1,64
5,z256_G256_512_1024,GAN,256,"[256, 512, 1024]","[1024, 512, 256]",4,2990097,1529872,1460225,mps,1.1287750000064989,0.0542728611929487,0.0099179456000456,0.0012827374468965,MNIST,28,1,64
6,z256_G512_1024_512,GAN,256,"[512, 1024, 512]","[512, 1024, 512]",4,3040529,1587984,1452545,cpu,0.6321292000393441,0.0255649569674086,0.0140962664999278,0.000479282389595,MNIST,28,1,64
6,z256_G512_1024_512,GAN,256,"[512, 1024, 512]","[512, 1024, 512]",4,3040529,1587984,1452545,mps,1.7028374999426887,0.5417833037075311,0.0138952791000519,0.0016235230043036,MNIST,28,1,64
7,z256_G256_512_1024_512,GAN,256,"[256, 512, 1024, 512]","[512, 1024, 512, 256]",5,3237905,1654288,1583617,cpu,2.0827793000535166,0.2280712996577861,0.0374565582000286,0.0097116139172149,MNIST,28,1,64
7,z256_G256_512_1024_512,GAN,256,"[256, 512, 1024, 512]","[512, 1024, 512, 256]",5,3237905,1654288,1583617,mps,1.7150081999261602,0.0799784275194256,0.0158631083001182,0.0010233551641294,MNIST,28,1,64
8,z64_G256_512,GAN,64,"[256, 512]","[512, 256]",3,1085457,551952,533505,cpu,0.46693996991962194,0.031632038828245806,0.007813490019179881,0.0002693369398990323,MNIST,28,1,64
9,z128_G128_256,GAN,128,"[128, 256]","[256, 128]",3,485777,251792,233985,cpu,0.3009399864822626,0.05358308050084621,0.005297910002991557,0.0002846352827974997,MNIST,28,1,64
10,z128_G512_1024,GAN,128,"[512, 1024]","[1024, 512]",3,2727185,1398032,1329153,cpu,1.0088599985465407,0.05013737253970471,0.01704254997894168,0.00040698872737761794,MNIST,28,1,64
11,z256_G256_512,GAN,256,"[256, 512]","[512, 256]",3,1134609,601104,533505,cpu,0.5132000427693129,0.04957637550660119,0.008773330016992986,0.000638339520274993,MNIST,28,1,64
12,z256_G512_1024_2048,GAN,256,"[512, 1024, 2048]","[2048, 1024, 512]",4,8600849,4369680,4231169,cpu,2.38861998077482,0.5796066089223578,0.05125718996860087,0.0026379533908975654,MNIST,28,1,64
13,z128_G256_512_1024_512_256,GAN,128,"[256, 512, 1024, 512, 256]","[256, 512, 1024, 512, 256]",6,3066897,1552656,1514241,cpu,1.3030900154262781,0.03795749406455142,0.02373332006391138,0.0008059195631295831,MNIST,28,1,64
14,z64_G64_128_256,GAN,64,"[64, 128, 256]","[256, 128, 64]",4,490065,247888,242177,cpu,0.3572900081053376,0.005290071156472974,0.005757189984433353,0.0006063643281802195,MNIST,28,1,64
15,z192_G256_512_1024,GAN,192,"[256, 512, 1024]","[1024, 512, 256]",4,2973713,1513488,1460225,cpu,1.1151799699291587,0.023999232431985377,0.020718589960597455,0.0016283553881155405,MNIST,28,1,64
