model_idx,config_str,model_type,embed_dim,num_layers,num_heads,patch_size,num_patches,total_params,device,inference_time_mean_ms,inference_time_std_ms,training_time_mean_sec,training_time_std_sec,dataset,img_size,img_channels,num_classes,batch_size
0,dim64_L2_H4_P4,Transformer,64,2,4,4,64,108106,cpu,28.140687942504883,2.2386024815178582,59.051223039627075,0.0,CIFAR-10,32,3,10,64
0,dim64_L2_H4_P4,Transformer,64,2,4,4,64,108106,mps,8.208060264587402,0.5920008545772831,40.39391803741455,0.0,CIFAR-10,32,3,10,64
1,dim64_L4_H4_P4,Transformer,64,4,4,4,64,208074,cpu,35.692381858825684,5.800171937404524,73.34095215797424,0.0,CIFAR-10,32,3,10,64
1,dim64_L4_H4_P4,Transformer,64,4,4,4,64,208074,mps,12.488317489624023,0.9235648647602933,52.430028676986694,0.0,CIFAR-10,32,3,10,64
2,dim64_L2_H4_P8,Transformer,64,2,4,8,16,114250,cpu,8.407902717590332,0.9797395857949761,17.686596155166626,0.0,CIFAR-10,32,3,10,64
2,dim64_L2_H4_P8,Transformer,64,2,4,8,16,114250,mps,3.6253929138183594,0.8786519828535069,16.62167000770569,0.0,CIFAR-10,32,3,10,64
3,dim128_L2_H4_P4,Transformer,128,2,4,4,64,412810,cpu,20.151996612548828,4.437958497515194,38.080448150634766,0.0,CIFAR-10,32,3,10,64
3,dim128_L2_H4_P4,Transformer,128,2,4,4,64,412810,mps,8.581304550170898,0.24035228005751677,25.416807889938354,0.0,CIFAR-10,32,3,10,64
4,dim128_L4_H4_P4,Transformer,128,4,4,4,64,809354,cpu,33.805012702941895,3.1436665238679184,67.2814199924469,0.0,CIFAR-10,32,3,10,64
4,dim128_L4_H4_P4,Transformer,128,4,4,4,64,809354,mps,17.33100414276123,0.41896696954168744,42.829124212265015,0.0,CIFAR-10,32,3,10,64
5,dim128_L6_H4_P4,Transformer,128,6,4,4,64,1205898,cpu,62.04080581665039,6.165860051324626,147.50328588485718,0.0,CIFAR-10,32,3,10,64
5,dim128_L6_H4_P4,Transformer,128,6,4,4,64,1205898,mps,34.85667705535889,1.4847983238499047,147.11375188827515,0.0,CIFAR-10,32,3,10,64
6,dim128_L2_H8_P4,Transformer,128,2,8,4,64,412810,cpu,37.68768310546875,6.380411330014383,205.1624538898468,0.0,CIFAR-10,32,3,10,64
6,dim128_L2_H8_P4,Transformer,128,2,8,4,64,412810,mps,18.401288986206055,0.6698124721189852,55.52558612823486,0.0,CIFAR-10,32,3,10,64
7,dim128_L4_H8_P4,Transformer,128,4,8,4,64,809354,cpu,65.78962802886963,7.139280885542265,153.59211587905884,0.0,CIFAR-10,32,3,10,64
7,dim128_L4_H8_P4,Transformer,128,4,8,4,64,809354,mps,31.03024959564209,0.46197334015554065,88.04706883430481,0.0,CIFAR-10,32,3,10,64
8,dim256_L2_H8_P4,Transformer,256,2,8,4,64,1612042,cpu,62.23621368408203,4.1420066349987525,265.1441249847412,0.0,CIFAR-10,32,3,10,64
8,dim256_L2_H8_P4,Transformer,256,2,8,4,64,1612042,mps,34.551024436950684,1.1633887861339884,173.85009217262268,0.0,CIFAR-10,32,3,10,64
9,dim256_L4_H8_P4,Transformer,256,4,8,4,64,3191562,cpu,122.21415042877197,14.957059391243824,267.76508593559265,0.0,CIFAR-10,32,3,10,64
9,dim256_L4_H8_P4,Transformer,256,4,8,4,64,3191562,mps,53.82964611053467,2.223190619811215,130.43855381011963,0.0,CIFAR-10,32,3,10,64
10,dim256_L6_H8_P4,Transformer,256,6,8,4,64,4771082,cpu,139.95046615600586,4.111307404226131,367.3810749053955,0.0,CIFAR-10,32,3,10,64
10,dim256_L6_H8_P4,Transformer,256,6,8,4,64,4771082,mps,59.002041816711426,1.5407916959548806,147.51702094078064,0.0,CIFAR-10,32,3,10,64
11,dim256_L4_H8_P8,Transformer,256,4,8,8,16,3216138,cpu,25.70199966430664,3.833727683648605,50.117790937423706,0.0,CIFAR-10,32,3,10,64
11,dim256_L4_H8_P8,Transformer,256,4,8,8,16,3216138,mps,9.713101387023926,0.10571007950335197,30.876626014709473,0.0,CIFAR-10,32,3,10,64
