total_params,log_total_params,model_size_mb,log_model_size_mb,num_layers,num_hidden_layers,num_conv_layers,max_width,log_max_width,min_width,avg_width,base_channels,model_type_encoded,cnn_has_pooling,cnn_has_batchnorm,cnn_num_fc_layers,cnn_kernel_size,device_encoded,cpu_cores,cpu_freq_ghz,cpu_cache_l2_mb,ram_total_gb,gpu_memory_gb,input_channels,input_height,input_width,num_classes,batch_size,dataset_encoded,inference_time_mean_ms,training_time_mean_sec,device,dataset_name
50890,10.837441369615792,0.19412994384765625,0.17741783974195952,2.0,1,0.0,64.0,4.174387269895637,64.0,64.0,0.0,0,0.0,0.0,1.0,0.0,0,8,3.2,12.0,8.0,8.0,1,28,28,10,64,0,0.0703811645507812,3.8144068717956543,cpu,MNIST
50890,10.837441369615792,0.19412994384765625,0.17741783974195952,2.0,1,0.0,64.0,4.174387269895637,64.0,64.0,0.0,0,0.0,0.0,1.0,0.0,1,8,3.2,12.0,8.0,8.0,1,28,28,10,64,0,0.3877401351928711,4.277552127838135,mps,MNIST
101770,11.530480470216114,0.38822174072265625,0.32802360488892496,2.0,1,0.0,128.0,4.859812404361672,128.0,128.0,0.0,0,0.0,0.0,1.0,0.0,0,8,3.2,12.0,8.0,8.0,1,28,28,10,64,0,0.0366687774658203,2.7494101524353027,cpu,MNIST
101770,11.530480470216114,0.38822174072265625,0.32802360488892496,2.0,1,0.0,128.0,4.859812404361672,128.0,128.0,0.0,0,0.0,0.0,1.0,0.0,1,8,3.2,12.0,8.0,8.0,1,28,28,10,64,0,0.433206558227539,5.275261163711548,mps,MNIST
203530,12.223573606415453,0.7764053344726562,0.5745918473994708,2.0,1,0.0,256.0,5.54907608489522,256.0,256.0,0.0,0,0.0,0.0,1.0,0.0,0,8,3.2,12.0,8.0,8.0,1,28,28,10,64,0,0.0611543655395507,2.892719030380249,cpu,MNIST
203530,12.223573606415453,0.7764053344726562,0.5745918473994708,2.0,1,0.0,256.0,5.54907608489522,256.0,256.0,0.0,0,0.0,0.0,1.0,0.0,1,8,3.2,12.0,8.0,8.0,1,28,28,10,64,0,0.4961729049682617,5.88048791885376,mps,MNIST
407050,12.916693763699756,1.5527725219726562,0.9371800320461282,2.0,1,0.0,512.0,6.240275845170769,512.0,512.0,0.0,0,0.0,0.0,1.0,0.0,0,8,3.2,12.0,8.0,8.0,1,28,28,10,64,0,0.09307861328125,3.256716251373291,cpu,MNIST
407050,12.916693763699756,1.5527725219726562,0.9371800320461282,2.0,1,0.0,512.0,6.240275845170769,512.0,512.0,0.0,0,0.0,0.0,1.0,0.0,1,8,3.2,12.0,8.0,8.0,1,28,28,10,64,0,0.7778644561767578,5.7941060066223145,mps,MNIST
55050,10.916015307290108,0.20999908447265625,0.19061960297419508,3.0,2,0.0,64.0,4.174387269895637,64.0,64.0,0.0,0,0.0,0.0,1.0,0.0,0,8,3.2,12.0,8.0,8.0,1,28,28,10,64,0,0.0349283218383789,2.7049500942230225,cpu,MNIST
55050,10.916015307290108,0.20999908447265625,0.19061960297419508,3.0,2,0.0,64.0,4.174387269895637,64.0,64.0,0.0,0,0.0,0.0,1.0,0.0,1,8,3.2,12.0,8.0,8.0,1,28,28,10,64,0,0.4948616027832031,5.166245937347412,mps,MNIST
118282,11.680835337188897,0.45121002197265625,0.37239770634486696,3.0,2,0.0,128.0,4.859812404361672,128.0,128.0,0.0,0,0.0,0.0,1.0,0.0,0,8,3.2,12.0,8.0,8.0,1,28,28,10,64,0,0.0469923019409179,2.819058895111084,cpu,MNIST
