model_type,model_name,device,config,total_params,trainable_params,conv_params,linear_params,bn_params,other_params,total_layers,num_hidden_layers,num_conv_layers,num_linear_layers,num_bn_layers,num_pool_layers,num_activation_layers,max_width,min_width,avg_width,max_channel_width,flops,flops_per_sample,params_per_flop,model_size_mb,memory_bytes,has_residual,has_depthwise,has_attention,has_pooling,has_batch_norm,has_layer_norm,has_dropout,model_family_encoded,hidden_size,num_filters,use_batchnorm,embed_dim,num_heads,patch_size,latent_dim,generator_params,discriminator_params,batch_size,input_height,input_width,input_channels,num_classes,device_type_encoded,cpu_cores,cpu_freq_ghz,ram_total_gb,gpu_cores,gpu_memory_gb,has_skip_connection,model_family,model_arch,kernel_size,stride,padding,max_channels,ffn_dim,num_attention_layers,sequence_length,has_cls_token,generator_layers,discriminator_layers,dataset_type,input_dtype,input_elements,os_type,accelerator_brand,accelerator_name,cpu_cores_physical,cpu_cores_logical,cpu_perf_cores,cpu_efficiency_cores,cpu_freq_base_ghz,cpu_freq_boost_ghz,cpu_cache_l2_mb,cpu_cache_l3_mb,memory_type,memory_bandwidth_gbs,is_unified_memory,shared_memory_gb,dedicated_vram_gb,gpu_count,gpu_core_count,gpu_tensor_core_count,gpu_compute_capability,gpu_clock_ghz,peak_bandwidth_gbs,tflops_fp32,tflops_fp16,fp16_support,bf16_support,interconnect_type,host_to_device_bandwidth_gbs,is_discrete_gpu,is_integrated_gpu,avg_train,std_train,avg_infer,std_infer,avg_accuracy,train_times,infer_times,n_repeats,n_used,std_ddof,peak_mem_mb,peak_mem_method,protocol,n_train_batches,n_test_batches,measured_at,host,tag,idle_wait_s,load_cpu_pct,load_gpu_util_pct,load_gpu_mem_used_mb,sw_python,sw_os,sw_machine,sw_torch,sw_cuda_runtime,sw_cudnn,sw_mps_available,sw_mkldnn_available,sw_onednn,sw_blas,sw_gpu_name,sw_gpu_driver,sw_torchvision
simple_ann,ANN_h16_l1,GPU(CUDA),"{'hidden_size': 16, 'num_layers': 1}",12730,12730,0,12730,0,0,2,2,0,2,0,0,1,16,16,16.0,16,25408,25408,0.5010232997481109,0.0486,50920,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,64,28,28,1,10,1,16,4.2,31.1,4352,8.0,0,0,ann,0,0,0,16,0,0,0,0,0,0,mnist,float32,784,windows,nvidia,NVIDIA GeForce RTX 4060 Ti,8,16,0,0,4.2,4.2,0.0,0.0,ddr5,0.0,0,0.0,8.0,1,4352,136,8.9,3.1,0.0,26.98,53.96,1,1,pcie4,16,1,0,0.51689,0.01182,0.00397,0.00101,90.35,"[0.51801, 0.51374, 0.51194, 0.50926, 0.51657, 0.51071, 0.50614, 0.50434, 0.53753, 0.5407]","[0.00461, 0.00521, 0.00505, 0.00364, 0.00371, 0.00523, 0.00377, 0.00378, 0.00239, 0.00233]",10,10,0,227.4,cuda_max_memory_allocated,v2-uniform-warmup,938,10,2026-09-15T15:55:49,ijunsu,remeasure_v2,0,1.7,2.0,1502.0,3.11.9,Windows-10-10.0.26200-SP0,AMD64,2.7.1+cu118,11.8,90100,0,1,3.7.1,mkl,NVIDIA GeForce RTX 4060 Ti,610.62,0.22.1+cu118
simple_ann,ANN_h16_l2,GPU(CUDA),"{'hidden_size': 16, 'num_layers': 2}",13002,13002,0,13002,0,0,3,3,0,3,0,0,2,16,16,16.0,16,25920,25920,0.5016203703703703,0.0496,52008,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,64,28,28,1,10,1,16,4.2,31.1,4352,8.0,0,0,ann,0,0,0,16,0,0,0,0,0,0,mnist,float32,784,windows,nvidia,NVIDIA GeForce RTX 4060 Ti,8,16,0,0,4.2,4.2,0.0,0.0,ddr5,0.0,0,0.0,8.0,1,4352,136,8.9,3.1,0.0,26.98,53.96,1,1,pcie4,16,1,0,0.75495,0.04563,0.004,0.00076,88.43,"[0.68535, 0.72643, 0.7685, 0.7626, 0.75364, 0.75468, 0.68412, 0.76489, 0.81791, 0.83137]","[0.00265, 0.00402, 0.00383, 0.00353, 0.00431, 0.00567, 0.00374, 0.00391, 0.00359, 0.00476]",10,10,0,227.4,cuda_max_memory_allocated,v2-uniform-warmup,938,10,2026-09-15T15:55:58,ijunsu,remeasure_v2,0,5.9,0.0,1556.0,3.11.9,Windows-10-10.0.26200-SP0,AMD64,2.7.1+cu118,11.8,90100,0,1,3.7.1,mkl,NVIDIA GeForce RTX 4060 Ti,610.62,0.22.1+cu118
simple_ann,ANN_h16_l3,GPU(CUDA),"{'hidden_size': 16, 'num_layers': 3}",13274,13274,0,13274,0,0,4,4,0,4,0,0,3,16,16,16.0,16,26432,26432,0.5021943099273608,0.0506,53096,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,64,28,28,1,10,1,16,4.2,31.1,4352,8.0,0,0,ann,0,0,0,16,0,0,0,0,0,0,mnist,float32,784,windows,nvidia,NVIDIA GeForce RTX 4060 Ti,8,16,0,0,4.2,4.2,0.0,0.0,ddr5,0.0,0,0.0,8.0,1,4352,136,8.9,3.1,0.0,26.98,53.96,1,1,pcie2,8,1,0,0.97328,0.04624,0.00451,0.00083,80.56,"[1.0314, 1.02153, 0.98265, 0.99773, 1.00148, 0.93398, 0.97762, 0.97769, 0.94375, 0.86493]","[0.0049, 0.00627, 0.00529, 0.00384, 0.0046, 0.00513, 0.00379, 0.00382, 0.00383, 0.00366]",10,10,0,227.4,cuda_max_memory_allocated,v2-uniform-warmup,938,10,2026-09-15T15:56:09,ijunsu,remeasure_v2,0,7.0,4.0,1556.0,3.11.9,Windows-10-10.0.26200-SP0,AMD64,2.7.1+cu118,11.8,90100,0,1,3.7.1,mkl,NVIDIA GeForce RTX 4060 Ti,610.62,0.22.1+cu118
simple_ann,ANN_h16_l4,GPU(CUDA),"{'hidden_size': 16, 'num_layers': 4}",13546,13546,0,13546,0,0,5,5,0,5,0,0,4,16,16,16.0,16,26944,26944,0.5027464370546318,0.0517,54184,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,64,28,28,1,10,1,16,4.2,31.1,4352,8.0,0,0,ann,0,0,0,16,0,0,0,0,0,0,mnist,float32,784,windows,nvidia,NVIDIA GeForce RTX 4060 Ti,8,16,0,0,4.2,4.2,0.0,0.0,ddr5,0.0,0,0.0,8.0,1,4352,136,8.9,3.1,0.0,26.98,53.96,1,1,pcie2,8,1,0,1.09186,0.01678,0.00456,0.00074,42.8,"[1.07134, 1.09322, 1.09663, 1.08981, 1.10001, 1.06518, 1.11202, 1.0794, 1.12358, 1.0874]","[0.00334, 0.00371, 0.00443, 0.00433, 0.00452, 0.00396, 0.00557, 0.0056, 0.00534, 0.00482]",10,10,0,227.4,cuda_max_memory_allocated,v2-uniform-warmup,938,10,2026-09-15T15:56:21,ijunsu,remeasure_v2,0,1.6,8.0,1556.0,3.11.9,Windows-10-10.0.26200-SP0,AMD64,2.7.1+cu118,11.8,90100,0,1,3.7.1,mkl,NVIDIA GeForce RTX 4060 Ti,610.62,0.22.1+cu118
simple_ann,ANN_h16_l5,GPU(CUDA),"{'hidden_size': 16, 'num_layers': 5}",13818,13818,0,13818,0,0,6,6,0,6,0,0,5,16,16,16.0,16,27456,27456,0.503277972027972,0.0527,55272,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,64,28,28,1,10,1,16,4.2,31.1,4352,8.0,0,0,ann,0,0,0,16,0,0,0,0,0,0,mnist,float32,784,windows,nvidia,NVIDIA GeForce RTX 4060 Ti,8,16,0,0,4.2,4.2,0.0,0.0,ddr5,0.0,0,0.0,8.0,1,4352,136,8.9,3.1,0.0,26.98,53.96,1,1,pcie2,8,1,0,1.1611,0.04346,0.00522,0.00058,16.92,"[1.1256, 1.15865, 1.15824, 1.09931, 1.14745, 1.11123, 1.14788, 1.20929, 1.2302, 1.22314]","[0.00558, 0.00449, 0.00594, 0.00444, 0.00596, 0.0057, 0.00461, 0.00565, 0.00486, 0.00493]",10,10,0,227.4,cuda_max_memory_allocated,v2-uniform-warmup,938,10,2026-09-15T15:56:34,ijunsu,remeasure_v2,0,0.7,3.0,1558.0,3.11.9,Windows-10-10.0.26200-SP0,AMD64,2.7.1+cu118,11.8,90100,0,1,3.7.1,mkl,NVIDIA GeForce RTX 4060 Ti,610.62,0.22.1+cu118
simple_ann,ANN_h16_l6,GPU(CUDA),"{'hidden_size': 16, 'num_layers': 6}",14090,14090,0,14090,0,0,7,7,0,7,0,0,6,16,16,16.0,16,27968,27968,0.5037900457665904,0.0537,56360,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,64,28,28,1,10,1,16,4.2,31.1,4352,8.0,0,0,ann,0,0,0,16,0,0,0,0,0,0,mnist,float32,784,windows,nvidia,NVIDIA GeForce RTX 4060 Ti,8,16,0,0,4.2,4.2,0.0,0.0,ddr5,0.0,0,0.0,8.0,1,4352,136,8.9,3.1,0.0,26.98,53.96,1,1,pcie2,8,1,0,1.4966,0.09294,0.00605,0.00117,11.2,"[1.40538, 1.35903, 1.49942, 1.61982, 1.5943, 1.57074, 1.56311, 1.52601, 1.48475, 1.34342]","[0.00582, 0.0056, 0.00575, 0.00524, 0.00487, 0.00601, 0.00643, 0.00932, 0.00598, 0.00542]",10,10,0,227.4,cuda_max_memory_allocated,v2-uniform-warmup,938,10,2026-09-15T15:56:51,ijunsu,remeasure_v2,0,5.9,2.0,1556.0,3.11.9,Windows-10-10.0.26200-SP0,AMD64,2.7.1+cu118,11.8,90100,0,1,3.7.1,mkl,NVIDIA GeForce RTX 4060 Ti,610.62,0.22.1+cu118
simple_ann,ANN_h16_l8,GPU(CUDA),"{'hidden_size': 16, 'num_layers': 8}",14634,14634,0,14634,0,0,9,9,0,9,0,0,8,16,16,16.0,16,28992,28992,0.5047599337748344,0.0558,58536,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,64,28,28,1,10,1,16,4.2,31.1,4352,8.0,0,0,ann,0,0,0,16,0,0,0,0,0,0,mnist,float32,784,windows,nvidia,NVIDIA GeForce RTX 4060 Ti,8,16,0,0,4.2,4.2,0.0,0.0,ddr5,0.0,0,0.0,8.0,1,4352,136,8.9,3.1,0.0,26.98,53.96,1,1,pcie2,8,1,0,1.68454,0.10554,0.00594,0.00168,11.09,"[1.69507, 1.71815, 1.68558, 1.82036, 1.81448, 1.81273, 1.63937, 1.55568, 1.60001, 1.504]","[0.00542, 0.00759, 0.00411, 0.00973, 0.00457, 0.00746, 0.0051, 0.00568, 0.00456, 0.00524]",10,10,0,227.4,cuda_max_memory_allocated,v2-uniform-warmup,938,10,2026-09-15T15:57:09,ijunsu,remeasure_v2,0,3.0,3.0,1558.0,3.11.9,Windows-10-10.0.26200-SP0,AMD64,2.7.1+cu118,11.8,90100,0,1,3.7.1,mkl,NVIDIA GeForce RTX 4060 Ti,610.62,0.22.1+cu118
simple_ann,ANN_h32_l1,GPU(CUDA),"{'hidden_size': 32, 'num_layers': 1}",25450,25450,0,25450,0,0,2,2,0,2,0,0,1,32,32,32.0,32,50816,50816,0.5008265113350125,0.0971,101800,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,64,28,28,1,10,1,16,4.2,31.1,4352,8.0,0,0,ann,0,0,0,32,0,0,0,0,0,0,mnist,float32,784,windows,nvidia,NVIDIA GeForce RTX 4060 Ti,8,16,0,0,4.2,4.2,0.0,0.0,ddr5,0.0,0,0.0,8.0,1,4352,136,8.9,3.1,0.0,26.98,53.96,1,1,pcie2,8,1,0,0.57071,0.04015,0.00327,0.00066,90.74,"[0.51674, 0.51345, 0.50884, 0.56294, 0.58631, 0.58843, 0.60263, 0.60929, 0.60721, 0.61128]","[0.00367, 0.00411, 0.00333, 0.00355, 0.00381, 0.00346, 0.00332, 0.00193, 0.00333, 0.00215]",10,10,0,227.5,cuda_max_memory_allocated,v2-uniform-warmup,938,10,2026-09-15T15:57:16,ijunsu,remeasure_v2,0,3.6,3.0,1554.0,3.11.9,Windows-10-10.0.26200-SP0,AMD64,2.7.1+cu118,11.8,90100,0,1,3.7.1,mkl,NVIDIA GeForce RTX 4060 Ti,610.62,0.22.1+cu118
simple_ann,ANN_h32_l2,GPU(CUDA),"{'hidden_size': 32, 'num_layers': 2}",26506,26506,0,26506,0,0,3,3,0,3,0,0,2,32,32,32.0,32,52864,52864,0.501399818401937,0.1011,106024,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,64,28,28,1,10,1,16,4.2,31.1,4352,8.0,0,0,ann,0,0,0,32,0,0,0,0,0,0,mnist,float32,784,windows,nvidia,NVIDIA GeForce RTX 4060 Ti,8,16,0,0,4.2,4.2,0.0,0.0,ddr5,0.0,0,0.0,8.0,1,4352,136,8.9,3.1,0.0,26.98,53.96,1,1,pcie4,16,1,0,0.77211,0.03721,0.00376,0.00122,89.75,"[0.76055, 0.75018, 0.74797, 0.74116, 0.74298, 0.73225, 0.77247, 0.84517, 0.80038, 0.82796]","[0.00387, 0.00467, 0.00359, 0.00519, 0.00515, 0.00487, 0.00204, 0.00207, 0.00204, 0.00412]",10,10,0,227.6,cuda_max_memory_allocated,v2-uniform-warmup,938,10,2026-09-15T15:57:26,ijunsu,remeasure_v2,0,1.8,6.0,1554.0,3.11.9,Windows-10-10.0.26200-SP0,AMD64,2.7.1+cu118,11.8,90100,0,1,3.7.1,mkl,NVIDIA GeForce RTX 4060 Ti,610.62,0.22.1+cu118
simple_ann,ANN_h32_l3,GPU(CUDA),"{'hidden_size': 32, 'num_layers': 3}",27562,27562,0,27562,0,0,4,4,0,4,0,0,3,32,32,32.0,32,54912,54912,0.5019303613053613,0.1051,110248,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,64,28,28,1,10,1,16,4.2,31.1,4352,8.0,0,0,ann,0,0,0,32,0,0,0,0,0,0,mnist,float32,784,windows,nvidia,NVIDIA GeForce RTX 4060 Ti,8,16,0,0,4.2,4.2,0.0,0.0,ddr5,0.0,0,0.0,8.0,1,4352,136,8.9,3.1,0.0,26.98,53.96,1,1,pcie2,8,1,0,0.93672,0.04473,0.00429,0.00045,86.08,"[0.92576, 0.84013, 0.96459, 0.94112, 0.97821, 0.98579, 0.99589, 0.92574, 0.90415, 0.90585]","[0.0038, 0.00388, 0.00412, 0.00528, 0.00382, 0.00418, 0.00422, 0.00487, 0.00433, 0.00441]",10,10,0,227.6,cuda_max_memory_allocated,v2-uniform-warmup,938,10,2026-09-15T15:57:36,ijunsu,remeasure_v2,0,6.5,1.0,1556.0,3.11.9,Windows-10-10.0.26200-SP0,AMD64,2.7.1+cu118,11.8,90100,0,1,3.7.1,mkl,NVIDIA GeForce RTX 4060 Ti,610.62,0.22.1+cu118
