device,target,model,R2,R2_log,RMSE,MAE
CPU,학습시간,LinearRegression,0.9,-0.9491,188.3614,32.4286
CPU,학습시간,RandomForest,0.6899,0.9846,331.6699,66.0649
CPU,학습시간,GradientBoosting,0.8433,0.9902,235.8185,44.3817
CPU,학습시간,XGBoost,0.8279,0.99,247.1266,50.3272
CPU,추론시간,LinearRegression,0.841,-146.3913,4.2048,0.93
CPU,추론시간,RandomForest,0.8334,0.9766,4.304,1.2878
CPU,추론시간,GradientBoosting,0.8716,0.9802,3.7779,1.1808
CPU,추론시간,XGBoost,0.8644,0.9798,3.8821,1.1616
CPU,메모리,LinearRegression,1.0,1.0,12394.1456,1088.6869
CPU,메모리,RandomForest,0.93,0.9987,2530892.5427,441547.0603
CPU,메모리,GradientBoosting,0.9469,0.9993,2205928.4267,360396.2746
CPU,메모리,XGBoost,0.9431,0.9979,2281967.5495,480874.1022
GPU(MPS),학습시간,LinearRegression,0.9506,-118.4595,7.3015,2.8139
GPU(MPS),학습시간,RandomForest,0.9332,0.986,8.4916,3.2047
GPU(MPS),학습시간,GradientBoosting,0.966,0.9922,6.0572,2.3636
GPU(MPS),학습시간,XGBoost,0.9561,0.9921,6.887,2.6766
GPU(MPS),추론시간,LinearRegression,0.9786,-59.2236,0.2205,0.0883
GPU(MPS),추론시간,RandomForest,0.9426,0.9751,0.3612,0.1495
GPU(MPS),추론시간,GradientBoosting,0.9637,0.9803,0.2874,0.1209
GPU(MPS),추론시간,XGBoost,0.9531,0.9763,0.3265,0.1375
GPU(MPS),메모리,LinearRegression,1.0,1.0,12394.1456,1088.6869
GPU(MPS),메모리,RandomForest,0.93,0.9987,2530892.5427,441547.0603
GPU(MPS),메모리,GradientBoosting,0.9469,0.9993,2205928.4267,360396.2746
GPU(MPS),메모리,XGBoost,0.9431,0.9979,2281967.5495,480874.1022
