device,target,model,R2,R2_log,RMSE,MAE
CPU,학습시간,LinearRegression,0.9146,0.9909,29.1902,9.8206
CPU,학습시간,RandomForest,0.9265,0.9853,27.0732,9.9594
CPU,학습시간,GradientBoosting,0.9527,0.9893,21.7296,8.4494
CPU,학습시간,XGBoost,0.9424,0.9895,23.959,8.4264
CPU,추론시간,LinearRegression,0.9321,0.9816,1.5706,0.5656
CPU,추론시간,RandomForest,0.9208,0.9836,1.6965,0.5892
CPU,추론시간,GradientBoosting,0.9405,0.9873,1.4701,0.4872
CPU,추론시간,XGBoost,0.9281,0.9849,1.6166,0.5432
CPU,메모리,LinearRegression,1.0,1.0,371.6563,66.6167
CPU,메모리,RandomForest,0.9228,0.999,2343616.9149,373955.2315
CPU,메모리,GradientBoosting,0.9511,0.9995,1865755.1455,236673.5991
CPU,메모리,XGBoost,0.9473,0.9984,1936818.7027,332589.8504
GPU(CUDA),학습시간,LinearRegression,0.9164,0.624,1.8281,0.889
GPU(CUDA),학습시간,RandomForest,0.9276,0.9711,1.7012,0.7665
GPU(CUDA),학습시간,GradientBoosting,0.9534,0.9788,1.3645,0.5958
GPU(CUDA),학습시간,XGBoost,0.9472,0.9776,1.4527,0.6383
GPU(CUDA),추론시간,LinearRegression,0.9688,0.8881,0.0675,0.0219
GPU(CUDA),추론시간,RandomForest,0.9437,0.964,0.0908,0.0417
GPU(CUDA),추론시간,GradientBoosting,0.9608,0.9736,0.0757,0.0333
GPU(CUDA),추론시간,XGBoost,0.9424,0.962,0.0918,0.0393
GPU(CUDA),메모리,LinearRegression,1.0,1.0,935.8859,158.1874
GPU(CUDA),메모리,RandomForest,0.9313,0.9988,2507519.1604,418649.1901
GPU(CUDA),메모리,GradientBoosting,0.9471,0.9993,2201499.4666,350235.7046
GPU(CUDA),메모리,XGBoost,0.9431,0.9979,2282679.9689,480567.1619
