device,target,model,R2,R2_log,RMSE,MAE
GPU(CUDA),학습시간,RandomForest,0.9352,0.9747,1.60964,0.72019
GPU(CUDA),학습시간,GradientBoosting,0.9258,0.9738,1.72209,0.7326
GPU(CUDA),학습시간,XGBoost,0.9299,0.9781,1.67375,0.70682
GPU(CUDA),추론시간,RandomForest,0.9464,0.966,0.08859,0.04041
GPU(CUDA),추론시간,GradientBoosting,0.9229,0.9498,0.10619,0.04814
GPU(CUDA),추론시간,XGBoost,0.9534,0.9682,0.08254,0.03901
GPU(CUDA),메모리,RandomForest,0.9226,0.9987,2662271.71367,471237.229
GPU(CUDA),메모리,GradientBoosting,0.9398,0.9991,2348146.44448,397460.02029
GPU(CUDA),메모리,XGBoost,0.9408,0.9979,2328901.58657,502700.559
CPU,학습시간,RandomForest,0.8848,0.9665,38.0187,12.42218
CPU,학습시간,GradientBoosting,0.8762,0.9604,39.41422,11.98509
CPU,학습시간,XGBoost,0.8808,0.9688,38.68394,11.69918
CPU,추론시간,RandomForest,0.8647,0.9231,2.45827,0.81091
CPU,추론시간,GradientBoosting,0.8212,0.9198,2.82577,0.85923
CPU,추론시간,XGBoost,0.8305,0.9308,2.75188,0.87216
CPU,메모리,RandomForest,0.9249,0.9987,2622432.12677,459301.85055
CPU,메모리,GradientBoosting,0.9439,0.999,2266761.92607,395096.89649
CPU,메모리,XGBoost,0.9407,0.9979,2330896.35868,504231.02482
